from,to
n20,n118
n20,n119
n20,n120
n20,n121
n20,n122
n53,n21
n123,n21
n2,n21
n3,n21
n124,n21
n11,n21
n66,n21
n62,n21
n125,n21
n1,n21
n16,n21
n17,n21
n71,n21
n126,n21
n21,n127
n21,n128
n21,n129
n21,n87
n21,n104
n21,n130
n21,n131
n21,n63
n21,n55
n21,n88
n21,n132
n21,n133
n21,n134
n21,n77
n21,n135
n21,n136
n21,n84
n21,n137
n21,n138
n21,n83
n21,n139
n128,n22
n140,n22
n1,n22
n62,n22
n21,n22
n141,n22
n16,n22
n142,n22
n143,n22
n2,n22
n144,n22
n145,n22
n146,n22
n22,n129
n22,n147
n22,n55
n22,n148
n22,n149
n22,n98
n22,n150
n22,n151
n22,n152
n22,n153
n22,n154
n22,n155
n22,n156
n22,n157
n22,n158
n22,n159
n22,n72
n22,n160
n22,n161
n22,n162
n22,n163
n22,n97
n22,n57
n164,n23
n165,n23
n23,n166
n23,n167
n23,n168
n169,n24
n170,n24
n171,n24
n24,n172
n24,n33
n172,n25
n26,n25
n25,n173
n25,n164
n25,n33
n25,n15
n25,n16
n25,n64
n25,n55
n25,n174
n169,n26
n170,n26
n26,n164
n26,n33
n26,n63
n26,n175
n26,n64
n26,n176
n26,n55
n26,n135
n26,n177
n26,n178
n2,n27
n27,n28
n27,n28
n3,n30
n179,n30
n180,n30
n2,n30
n30,n181
n30,n182
n30,n183
n30,n184
n30,n31
n30,n44
n30,n185
n30,n34
n30,n40
n30,n32
n30,n83
n30,n122
n2,n31
n3,n31
n43,n31
n65,n31
n30,n31
n181,n31
n7,n31
n184,n31
n31,n185
n31,n46
n31,n45
n2,n32
n30,n32
n32,n186
n32,n187
n25,n33
n188,n33
n33,n189
n33,n23
n33,n66
n33,n64
n23,n34
n190,n34
n34,n191
n34,n192
n34,n42
n34,n37
n35,n193
n35,n36
n35,n36
n3,n37
n5,n37
n38,n37
n4,n37
n34,n37
n42,n37
n37,n106
n37,n51
n3,n38
n2,n38
n181,n38
n34,n38
n38,n45
n38,n194
n38,n39
n38,n97
n2,n39
n3,n39
n38,n39
n5,n39
n39,n45
n39,n195
n39,n16
n39,n97
n39,n196
n39,n197
n39,n198
n39,n150
n3,n40
